Session,Channel,Network,ADAPT,TP,FP,FN,Precision,Recall,F1,Mean_Latency,Num_Spikes,Num_Ripples
2025-09-24_10-24-40,30,dsb4updn_median_200_15f,2,56,54,36,0.509090909090909,0.6086956521739131,0.5544554455445544,45.78035714285813,546,92
2025-09-24_15-13-10,14,dsb4updn_median_200_15f,2,79,13,5,0.8586956521739131,0.9404761904761905,0.8977272727272727,31.899999999999704,1234,84
2025-09-23_15-50-26,28,dsb4updn_median_200_15f,2,115,88,24,0.5665024630541872,0.8273381294964028,0.672514619883041,42.8437681159422,1274,139
2025-09-22_17-55-26,26,dsb4updn_median_200_15f,2,161,80,24,0.6680497925311203,0.8702702702702703,0.755868544600939,42.53954451345708,2113,185
2025-09-24_14-22-55,25,dsb4updn_median_200_15f,2,264,26,0,0.9103448275862069,1.0,0.9530685920577617,22.212878787879315,7843,264
2025-09-25_16-41-14,21,dsb4updn_median_200_15f,2,118,143,26,0.4521072796934866,0.8194444444444444,0.582716049382716,43.55423728813345,1776,144
2025-09-24_16-29-07,5,dsb4updn_median_200_15f,2,35,236,5,0.12915129151291513,0.875,0.22508038585209003,36.119047619048395,1799,40
2025-09-24_17-38-17,13,dsb4updn_median_200_15f,2,14,124,1,0.10144927536231885,0.9333333333333333,0.18300653594771243,40.74047619046652,668,15
2025-09-22_17-55-26,26,dsb4updn_median_200_15f,0,173,142,12,0.5492063492063493,0.9351351351351351,0.6920000000000001,41.13275529865042,2566,185
2025-09-24_14-22-55,25,dsb4updn_median_200_15f,0,264,22,0,0.9230769230769231,1.0,0.9600000000000001,22.25454545454598,7643,264
2025-09-23_15-50-26,28,dsb4updn_median_200_15f,0,123,105,16,0.5394736842105263,0.8848920863309353,0.670299727520436,41.50379403794061,1533,139
2025-09-25_16-41-14,21,dsb4updn_median_200_15f,0,118,135,26,0.466403162055336,0.8194444444444444,0.5944584382871537,44.405367231635914,1827,144
