Session,Channel,Network,ADAPT,TP,FP,FN,Precision,Recall,F1,Mean_Latency,Num_Spikes,Num_Ripples,Duration_min
Calb_251211_104316,5,dsb4updn_median_200_15f,20,101,309,3,0.24634146341463414,0.9711538461538461,0.3929961089494164,38.800660066005825,3147,104,11.098311111111112
Calb_251209_160255,11,dsb4updn_median_200_15f,20,64,73,2,0.46715328467153283,0.9696969696969697,0.6305418719211824,32.18385416666558,1303,66,5.828693333333334
Calb_251210_122327,13,dsb4updn_median_200_15f,20,86,191,5,0.3104693140794224,0.945054945054945,0.4673913043478261,39.51356589147276,1816,91,10.954382222222222
Calb_251210_164150,15,dsb4updn_median_200_15f,20,111,188,7,0.3712374581939799,0.940677966101695,0.5323741007194244,37.773273273275855,2426,118,10.902613333333333
Calb_251211_110650,5,dsb4updn_median_200_15f,20,65,181,3,0.26422764227642276,0.9558823529411765,0.41401273885350315,38.81384615384494,1704,68,10.853688888888888
2025-09-24_15-13-10,14,dsb4updn_median_200_15f,2,79,13,5,0.8586956521739131,0.9404761904761905,0.8977272727272727,31.899999999999704,1234,84,5.505122777777777
2025-09-22_17-42-27,24,dsb4updn_median_200_15f,2,46,36,63,0.5609756097560976,0.42201834862385323,0.4816753926701571,48.474637681156985,460,109,10.506606666666666
2025-09-25_12-52-22,25,dsb4updn_median_200_15f,2,20,135,28,0.12903225806451613,0.4166666666666667,0.19704433497536947,44.80166666666646,520,48,10.408511666666667
2025-09-25_16-41-14,21,dsb4updn_median_200_15f,2,118,143,26,0.4521072796934866,0.8194444444444444,0.582716049382716,43.55423728813345,1776,144,10.42450111111111
2025-09-23_15-50-26,28,dsb4updn_median_200_15f,2,115,88,24,0.5665024630541872,0.8273381294964028,0.672514619883041,42.8437681159422,1274,139,10.387617777777779
2025-09-24_10-24-40,30,dsb4updn_median_200_15f,2,56,54,36,0.509090909090909,0.6086956521739131,0.5544554455445544,45.78035714285813,546,92,10.413201666666668
2025-09-24_11-34-51,30,dsb4updn_median_200_15f,2,15,21,56,0.4166666666666667,0.2112676056338028,0.28037383177570097,52.1377777777805,105,71,6.631564999999999
2025-09-23_16-17-52,24,dsb4updn_median_200_15f,2,42,36,30,0.5384615384615384,0.5833333333333334,0.5599999999999999,38.79761904761732,305,72,10.371521111111111
2025-09-22_17-55-26,26,dsb4updn_median_200_15f,2,161,80,24,0.6680497925311203,0.8702702702702703,0.755868544600939,42.53954451345708,2113,185,10.399793333333333
2025-09-24_14-22-55,25,dsb4updn_median_200_15f,2,264,26,0,0.9103448275862069,1.0,0.9530685920577617,22.212878787879315,7843,264,6.399816666666666
2025-09-25_11-21-53,21,dsb4updn_median_200_15f,2,135,55,67,0.7105263157894737,0.6683168316831684,0.6887755102040817,42.32123456789844,1062,202,10.375891666666666
2025-09-24_16-29-07,5,dsb4updn_median_200_15f,2,35,236,5,0.12915129151291513,0.875,0.22508038585209003,36.119047619048395,1799,40,10.618442222222223
2025-09-24_17-38-17,13,dsb4updn_median_200_15f,2,14,124,1,0.10144927536231885,0.9333333333333333,0.18300653594771243,40.74047619046652,668,15,10.479719999999999
PV01ai32FPGA_250611_115923,29,dsb4updn_median_200_15f,2,141,75,69,0.6527777777777778,0.6714285714285714,0.6619718309859155,37.824822695038506,1626,210,11.266702222222222
Calbai32FPGA_251003_150055,5,dsb4updn_median_200_15f,2,171,147,15,0.5377358490566038,0.9193548387096774,0.6785714285714285,38.89649122807223,2614,186,11.173404444444445
PV01ai32FPGA_250611_122326,20,dsb4updn_median_200_15f,2,140,145,29,0.49122807017543857,0.8284023668639053,0.6167400881057268,35.23595238095071,2502,169,11.670613333333334
Calbai32FPGA_251003_144832,11,dsb4updn_median_200_15f,2,174,142,19,0.5506329113924051,0.9015544041450777,0.6836935166994107,38.0689655172415,2459,193,11.366826666666666
Calb_251210_122327,13,dsb4updn_median_200_15f,2,85,161,6,0.34552845528455284,0.9340659340659341,0.5044510385756676,37.525490196077975,1840,91,10.954382222222222
Calb_251210_164150,15,dsb4updn_median_200_15f,2,109,197,9,0.3562091503267974,0.923728813559322,0.5141509433962265,39.76116207951304,2370,118,10.902613333333333
Calb_251210_162849,15,dsb4updn_median_200_15f,2,105,197,8,0.347682119205298,0.9292035398230089,0.5060240963855422,35.6225396825395,2488,113,11.705315555555556
Calb_251210_121141,15,dsb4updn_median_200_15f,2,62,175,7,0.2616033755274262,0.8985507246376812,0.4052287581699347,37.16559139784928,1609,69,10.848568888888888
Calb_251211_105518,12,dsb4updn_median_200_15f,2,123,209,8,0.3704819277108434,0.9389312977099237,0.531317494600432,41.313550135501465,2920,131,10.845724444444445
Calb_251211_110650,5,dsb4updn_median_200_15f,2,65,180,3,0.2653061224489796,0.9558823529411765,0.415335463258786,42.3620512820496,1750,68,10.853688888888888
