Network,Dataset,Channel,TP,FP,FN,Precision,Recall,F1
dsb4updn_median_200_11b,Thy7_2020-11-11_16-05-00,5,56,10,83,0.8484848484848485,0.4028776978417266,0.5463414634146342
dsb4updn_median_200_11b,Thy7_2020-11-11_16-05-00,6,47,6,92,0.8867924528301887,0.3381294964028777,0.4895833333333333
dsb4updn_median_200_11b,Thy7_2020-11-11_16-05-00,7,25,7,114,0.78125,0.17985611510791366,0.29239766081871343
dsb4updn_median_200_13f,Amigo2_2019-07-11_11-57-07,0,210,683,14,0.23516237402015677,0.9375,0.37600716204118173
dsb4updn_median_200_13f,Amigo2_2019-07-11_11-57-07,1,194,410,30,0.3211920529801324,0.8660714285714286,0.4685990338164251
dsb4updn_median_200_13f,Amigo2_2019-07-11_11-57-07,2,173,206,51,0.45646437994722955,0.7723214285714286,0.5737976782752903
dsb4updn_median_200_13f,Amigo2_2019-07-11_11-57-07,3,136,91,88,0.5991189427312775,0.6071428571428571,0.6031042128603105
dsb4updn_median_200_13f,Amigo2_2019-07-11_11-57-07,4,122,143,102,0.46037735849056605,0.5446428571428571,0.4989775051124744
dsb4updn_median_200_13f,Amigo2_2019-07-11_11-57-07,5,111,95,113,0.5388349514563107,0.4955357142857143,0.5162790697674418
dsb4updn_median_200_13f,Amigo2_2019-07-11_11-57-07,6,94,137,130,0.4069264069264069,0.41964285714285715,0.41318681318681316
dsb4updn_median_200_13f,Amigo2_2019-07-11_11-57-07,7,82,133,142,0.3813953488372093,0.36607142857142855,0.3735763097949886
dsb4updn_median_200_13f,Dlx1_2021-02-12_12-46-54,0,23,45,8,0.3382352941176471,0.7419354838709677,0.46464646464646475
dsb4updn_median_200_13f,Dlx1_2021-02-12_12-46-54,1,26,48,5,0.35135135135135137,0.8387096774193549,0.4952380952380952
dsb4updn_median_200_13f,Dlx1_2021-02-12_12-46-54,2,25,46,6,0.352112676056338,0.8064516129032258,0.49019607843137253
dsb4updn_median_200_13f,Dlx1_2021-02-12_12-46-54,3,25,39,6,0.390625,0.8064516129032258,0.5263157894736842
dsb4updn_median_200_13f,Dlx1_2021-02-12_12-46-54,4,26,47,5,0.3561643835616438,0.8387096774193549,0.5
dsb4updn_median_200_13f,Dlx1_2021-02-12_12-46-54,5,22,26,9,0.4583333333333333,0.7096774193548387,0.5569620253164557
dsb4updn_median_200_13f,Dlx1_2021-02-12_12-46-54,6,25,20,6,0.5555555555555556,0.8064516129032258,0.6578947368421053
dsb4updn_median_200_13f,Dlx1_2021-02-12_12-46-54,7,16,12,15,0.5714285714285714,0.5161290322580645,0.5423728813559322
dsb4updn_median_200_13f,Som2_2019-07-24_12-01-49,0,50,69,14,0.42016806722689076,0.78125,0.5464480874316939
dsb4updn_median_200_13f,Som2_2019-07-24_12-01-49,1,55,96,9,0.36423841059602646,0.859375,0.5116279069767442
